Sensor ID, sensor_Y8585-1-14-21-0
Wavelength data
400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730
Spectrum data
15282,12502.6,9723.14,6943.71,4164.27,1384.84,1133.48,882.119,630.758,379.398,128.037,614.727,1101.42,1588.11,2074.8,2561.49,3043.6,3525.72,4007.83,4489.95,4972.06,5062.87,5153.67,5244.47,5335.28,5426.08,5199.12,4972.16,4745.2,4518.24,4291.28,4059.56,3827.84,3596.12,3364.4,3132.68,3074.73,3016.78,2958.83,2900.87,2842.92,2993.47,3144.02,3294.56,3445.11,3595.66,3702.35,3809.04,3915.74,4022.43,4129.12,3917.84,3706.56,3495.29,3284.01,3072.73,2582.19,2091.65,1601.1,1110.56,620.022,41.362,-537.298,-1115.96,-1694.62,-2273.28,-2738.35,-3203.42,-3668.49,-4133.56,-4598.63,-4774.52,-4950.41,-5126.3,-5302.19,-5478.08,-5483.3,-5488.51,-5493.73,-5498.95,-5504.16,-5280.7,-5057.24,-4833.77,-4610.31,-4386.85,-4098.52,-3810.19,-3521.86,-3233.53,-2945.21,-2752.3,-2559.4,-2366.5,-2173.6,-1980.7,-1838.15,-1695.59,-1553.04,-1410.49,-1267.93,-1011.85,-755.759,-499.672,-243.584,12.5032,424.578,836.653,1248.73,1660.8,2072.88,2468.53,2864.18,3259.83,3655.49,4051.14,4253.95,4456.76,4659.57,4862.38,5065.18,5012.4,4959.61,4906.82,4854.03,4801.25,4562.94,4324.63,4086.33,3848.02,3609.71,3344.85,3079.99,2815.13,2550.27,2285.41,2001.23,1717.05,1432.87,1148.69,864.511,735.677,606.842,478.008,349.173,220.338,297.639,374.94,452.241,529.542,606.843,755.006,903.169,1051.33,1199.5,1347.66,1470.08,1592.49,1714.91,1837.33,1959.75,2072.4,2185.05,2297.7,2410.35,2523,2562.86,2602.73,2642.59,2682.46,2722.32,2709.94,2697.56,2685.18,2672.8,2660.42,2502.84,2345.25,2187.66,2030.08,1872.49,1839.36,1806.22,1773.08,1739.95,1706.81,1797.33,1887.86,1978.38,2068.9,2159.42,2227.72,2296.02,2364.33,2432.63,2500.93,2491.01,2481.09,2471.18,2461.26,2451.34,2320.92,2190.5,2060.07,1929.65,1799.23,1611.51,1423.8,1236.08,1048.37,860.65,773.76,686.869,599.978,513.088,426.197,334.622,243.047,151.472,59.8967,-31.6783,-113.868,-196.058,-278.248,-360.438,-442.628,-594.016,-745.404,-896.791,-1048.18,-1199.57,-1255.05,-1310.53,-1366.01,-1421.5,-1476.98,-1589.5,-1702.02,-1814.54,-1927.06,-2039.58,-2026.85,-2014.12,-2001.39,-1988.66,-1975.93,-1850.04,-1724.15,-1598.26,-1472.37,-1346.48,-1283.38,-1220.28,-1157.17,-1094.07,-1030.97,-1022.2,-1013.43,-1004.66,-995.894,-987.124,-975.698,-964.273,-952.847,-941.422,-929.996,-633.507,-337.019,-40.5298,255.959,552.448,937.521,1322.59,1707.67,2092.74,2477.81,2664.2,2850.59,3036.98,3223.37,3409.76,3201.96,2994.16,2786.36,2578.56,2370.75,2025.42,1680.09,1334.75,989.422,644.089,480.837,317.585,154.333,-8.9187,-172.171,123.255,418.68,714.106,1009.53,1304.96,1565.44,1825.93,2086.41,2346.9,2607.38,2461.76,2316.13,2170.51,2024.88,1879.26,1384.5,889.735,394.973,-99.7893,-594.551,-1048.16,-1501.77,-1955.37,-2408.98,-2862.59,-2999.95,-3137.31,-3274.67,-3412.02,-3549.38,-3120.99,-2692.6,-2264.21,-1835.82,-1407.43
